Episode,Time,T1,T2,Q1,Q2,TSP1,TSP2,IAE
51,0,28.63,27.99,50.00,50.00,43.20,55.05,41.63
51,5,28.63,28.15,100.00,100.00,43.20,55.05,83.10
51,10,28.63,28.21,100.00,100.00,43.20,55.05,124.51
51,15,28.95,28.18,100.00,100.00,43.20,55.05,165.63
51,20,29.60,28.41,100.00,100.00,43.20,55.05,205.87
51,25,30.24,28.83,100.00,100.00,43.20,55.05,245.05
51,30,31.21,29.57,100.00,100.00,43.20,55.05,282.52
51,35,32.47,29.99,100.00,100.00,43.20,55.05,318.31
51,40,33.79,31.08,100.00,100.00,43.20,55.05,351.69
51,45,35.08,31.92,100.00,100.00,43.20,55.05,382.94
51,50,36.69,32.89,100.00,100.00,43.20,55.05,411.61
51,55,38.46,34.05,100.00,100.00,43.20,55.05,437.35
51,60,40.23,34.95,100.00,100.00,43.20,55.05,460.42
51,65,41.81,36.05,50.00,100.00,43.20,55.05,480.81
51,70,43.42,36.85,0.00,100.00,43.20,55.05,499.23
51,75,44.78,37.46,0.00,100.00,43.20,55.05,518.40
51,80,45.71,38.40,0.00,100.00,43.20,55.05,537.56
51,85,46.16,39.20,0.00,100.00,43.20,55.05,556.37
51,90,46.62,39.36,0.00,100.00,43.20,55.05,575.48
51,95,47.00,40.85,0.00,100.00,43.20,55.05,593.48
51,100,47.36,41.62,0.00,100.00,43.20,55.05,611.07
51,105,47.65,42.88,0.00,100.00,43.20,55.05,627.69
51,110,47.68,43.68,0.00,100.00,43.20,55.05,643.54
51,115,47.65,44.71,0.00,100.00,43.20,55.05,658.33
51,120,47.65,45.97,0.00,100.00,43.20,55.05,671.86
51,125,47.32,46.65,0.00,100.00,43.20,55.05,684.38
51,130,47.32,47.55,0.00,100.00,43.20,55.05,696.00
51,135,47.00,47.81,0.00,100.00,43.20,55.05,707.04
51,140,46.68,48.87,0.00,100.00,43.20,55.05,716.70
51,145,46.39,49.23,0.00,100.00,43.20,55.05,725.71
51,150,45.71,49.23,0.00,100.00,43.20,55.05,734.04
