Episode,Time,T1,T2,Q1,Q2,TSP1,TSP2,IAE
50,0,28.57,28.18,50.00,50.00,50.41,54.62,48.28
50,5,28.57,28.28,100.00,100.00,50.41,54.62,96.46
50,10,28.57,28.66,100.00,100.00,50.41,54.62,144.26
50,15,28.86,28.86,100.00,100.00,50.41,54.62,191.57
50,20,29.28,28.83,100.00,100.00,50.41,54.62,238.49
50,25,30.24,29.05,100.00,100.00,50.41,54.62,284.23
50,30,31.21,29.66,100.00,100.00,50.41,54.62,328.39
50,35,32.18,30.44,100.00,100.00,50.41,54.62,370.80
50,40,33.69,31.05,100.00,100.00,50.41,54.62,411.09
50,45,35.08,32.15,100.00,100.00,50.41,54.62,448.89
50,50,36.14,32.66,100.00,100.00,50.41,54.62,485.12
50,55,37.56,32.92,100.00,100.00,50.41,54.62,519.67
50,60,38.95,34.30,100.00,100.00,50.41,54.62,551.45
50,65,40.56,35.05,100.00,100.00,50.41,54.62,580.87
50,70,42.23,36.30,100.00,100.00,50.41,54.62,607.37
50,75,43.81,37.33,100.00,100.00,50.41,54.62,631.26
50,80,45.62,38.30,100.00,100.00,50.41,54.62,652.37
50,85,47.32,39.04,100.00,100.00,50.41,54.62,671.04
50,90,48.61,40.23,94.60,100.00,50.41,54.62,687.23
50,95,50.23,41.46,44.60,100.00,50.41,54.62,700.57
50,100,51.84,42.43,0.00,100.00,50.41,54.62,714.19
50,105,53.45,43.62,0.00,100.00,50.41,54.62,728.23
50,110,54.64,44.52,0.00,100.00,50.41,54.62,742.56
50,115,55.41,45.20,0.00,100.00,50.41,54.62,756.98
50,120,56.02,46.39,0.00,100.00,50.41,54.62,770.82
50,125,56.35,47.10,0.00,100.00,50.41,54.62,784.28
50,130,55.51,47.39,0.00,100.00,50.41,54.62,796.61
50,135,54.67,47.90,0.00,100.00,50.41,54.62,807.59
50,140,53.45,47.87,0.00,100.00,50.41,54.62,817.38
50,145,52.80,48.23,0.00,100.00,50.41,54.62,826.16
50,150,52.61,49.06,0.00,100.00,50.41,54.62,833.92
50,155,52.26,50.00,0.00,100.00,50.41,54.62,840.39
50,160,51.48,50.48,0.00,100.00,50.41,54.62,845.60
50,165,50.77,50.48,16.57,100.00,50.41,54.62,850.10
50,170,49.94,51.03,66.57,100.00,50.41,54.62,854.16
50,175,49.55,51.71,97.42,100.00,50.41,54.62,857.93
50,180,49.03,52.16,100.00,100.00,50.41,54.62,861.77
50,185,48.97,52.61,92.65,100.00,50.41,54.62,865.22
50,190,48.61,51.93,100.00,100.00,50.41,54.62,869.71
50,195,48.32,52.09,100.00,100.00,50.41,54.62,874.33
50,200,48.61,51.64,100.00,100.00,50.41,54.62,879.11
50,205,49.26,52.64,70.43,100.00,50.41,54.62,882.24
50,210,50.52,53.45,20.43,100.00,50.41,54.62,883.52
50,215,51.48,53.48,0.00,100.00,50.41,54.62,885.73
50,220,52.16,53.96,0.00,100.00,50.41,54.62,888.14
50,225,52.48,54.19,0.00,92.31,50.41,54.62,890.64
50,230,52.19,53.58,0.00,100.00,50.41,54.62,893.46
50,235,51.93,53.54,0.00,100.00,50.41,54.62,896.06
50,240,51.51,53.87,0.00,100.00,50.41,54.62,897.91
50,245,51.19,54.25,0.00,90.19,50.41,54.62,899.06
50,250,50.55,54.09,50.00,100.00,50.41,54.62,899.73
50,255,49.90,54.54,99.98,56.34,50.41,54.62,900.32
50,260,49.58,54.51,90.47,64.30,50.41,54.62,901.26
50,265,49.58,55.16,79.21,14.30,50.41,54.62,902.63
50,270,49.94,55.57,36.23,0.00,50.41,54.62,904.05
50,275,50.52,55.99,0.00,0.00,50.41,54.62,905.53
50,280,51.48,56.38,0.00,0.00,50.41,54.62,908.36
50,285,51.87,56.35,0.00,0.00,50.41,54.62,911.55
50,290,52.26,55.99,0.00,0.00,50.41,54.62,914.77
50,295,52.48,55.61,0.00,10.88,50.41,54.62,917.83
50,300,52.16,54.99,0.00,60.41,50.41,54.62,919.95
50,305,52.16,54.51,0.00,100.00,50.41,54.62,921.81
50,310,51.87,54.19,0.00,100.00,50.41,54.62,923.70
50,315,51.19,53.87,0.00,100.00,50.41,54.62,925.23
50,320,51.19,54.03,0.00,100.00,50.41,54.62,926.60
50,325,50.84,54.09,12.04,100.00,50.41,54.62,927.56
50,330,49.90,53.64,62.03,100.00,50.41,54.62,929.05
50,335,48.65,52.80,100.00,100.00,50.41,54.62,932.63
50,340,47.90,52.06,100.00,100.00,50.41,54.62,937.70
50,345,47.23,51.71,100.00,100.00,50.41,54.62,943.79
50,350,47.00,52.03,100.00,100.00,50.41,54.62,949.79
50,355,47.42,51.97,100.00,100.00,50.41,54.62,955.43
50,360,47.97,52.45,100.00,100.00,50.41,54.62,960.04
50,365,49.26,53.51,76.07,100.00,50.41,54.62,962.30
50,370,50.13,53.25,26.07,100.00,50.41,54.62,963.95
50,375,50.84,53.87,0.00,100.00,50.41,54.62,965.13
50,380,51.51,53.87,0.00,100.00,50.41,54.62,966.98
50,385,51.84,53.64,0.00,100.00,50.41,54.62,969.39
50,390,52.16,54.16,0.00,100.00,50.41,54.62,971.60
50,395,52.48,55.16,0.00,50.00,50.41,54.62,974.21
50,400,52.80,55.16,0.00,0.00,50.41,54.62,977.14
50,405,52.80,55.70,0.00,0.00,50.41,54.62,980.61
50,410,52.67,56.35,0.00,0.00,50.41,54.62,984.60
50,415,52.48,56.48,0.00,0.00,50.41,54.62,988.53
50,420,52.48,56.67,0.00,0.00,50.41,54.62,992.65
50,425,52.16,56.67,0.00,0.00,50.41,54.62,996.45
50,430,51.84,56.35,50.00,0.00,59.71,54.62,1006.05
50,435,51.51,55.73,100.00,4.76,59.71,54.62,1015.36
50,440,50.84,55.16,100.00,54.00,59.71,54.62,1024.77
50,445,50.58,55.03,100.00,50.29,59.71,54.62,1034.31
50,450,50.87,54.58,100.00,100.00,59.71,54.62,1043.19
50,455,51.26,53.90,100.00,100.00,59.71,54.62,1052.36
50,460,51.84,54.32,100.00,100.00,59.71,54.62,1060.53
