Episode,Time,T1,T2,Q1,Q2,TSP1,TSP2,IAE
45,0,27.67,28.66,50.00,50.00,59.56,34.22,37.45
45,5,27.73,28.92,100.00,100.00,59.56,34.22,74.58
45,10,27.67,29.02,100.00,100.00,59.56,34.22,111.67
45,15,27.99,29.18,100.00,100.00,59.56,34.22,148.28
45,20,28.60,29.47,100.00,100.00,59.56,34.22,183.99
45,25,29.41,29.44,100.00,100.00,59.56,34.22,218.92
45,30,30.57,30.11,100.00,100.00,59.56,34.22,252.02
45,35,31.86,30.66,100.00,100.00,59.56,34.22,283.28
45,40,33.47,32.02,100.00,89.68,59.56,34.22,311.57
45,45,34.85,32.66,100.00,60.60,59.56,34.22,337.84
45,50,36.37,33.40,100.00,11.92,59.56,34.22,361.85
45,55,37.98,33.95,100.00,0.00,59.56,34.22,383.70
45,60,39.59,34.82,100.00,0.00,59.56,34.22,404.27
45,65,41.23,35.40,100.00,0.00,59.56,34.22,423.78
45,70,42.84,36.05,100.00,0.00,59.56,34.22,442.33
45,75,44.42,36.40,100.00,0.00,59.56,34.22,459.65
45,80,45.81,36.69,100.00,0.00,59.56,34.22,475.87
45,85,47.32,37.08,100.00,0.00,59.56,34.22,490.97
45,90,48.97,37.30,100.00,0.00,59.56,34.22,504.64
45,95,50.52,37.66,100.00,0.00,59.56,34.22,517.12
45,100,51.87,37.66,100.00,0.00,59.56,34.22,528.25
45,105,53.41,37.82,100.00,0.00,59.56,34.22,538.00
45,110,54.74,37.95,100.00,0.00,59.56,34.22,546.55
45,115,55.99,38.01,100.00,0.00,59.56,34.22,553.91
45,120,57.31,38.01,100.00,0.00,59.56,34.22,559.95
45,125,58.60,38.01,84.12,0.00,59.56,34.22,564.70
45,130,59.54,38.30,34.12,0.00,59.56,34.22,568.80
45,135,60.80,38.37,0.00,0.00,59.56,34.22,574.19
45,140,61.70,38.62,0.00,0.00,59.56,34.22,580.73
45,145,62.47,38.88,0.00,0.00,59.56,34.22,588.30
45,150,62.66,38.95,0.00,0.00,59.56,34.22,596.13
45,155,61.86,38.62,0.00,0.00,59.56,34.22,602.83
45,160,61.18,38.69,0.00,0.00,59.56,34.22,608.92
45,165,60.92,38.95,0.00,0.00,59.56,34.22,615.01
45,170,60.22,38.95,10.65,0.00,59.56,34.22,620.40
45,175,59.12,38.91,60.66,0.00,59.56,34.22,625.53
45,180,58.28,38.95,100.00,0.00,59.56,34.22,631.54
45,185,56.96,38.66,100.00,0.00,59.56,34.22,638.58
45,190,55.90,38.62,100.00,0.00,59.56,34.22,646.64
45,195,55.70,38.59,100.00,0.00,59.56,34.22,654.87
45,200,55.70,38.62,100.00,0.00,59.56,34.22,663.13
45,205,56.15,38.75,100.00,0.00,59.56,34.22,671.07
45,210,56.73,38.85,100.00,0.00,59.56,34.22,678.53
45,215,57.28,38.91,100.00,0.00,59.56,34.22,685.50
45,220,58.12,38.91,100.00,0.00,59.56,34.22,691.63
45,225,58.60,38.95,98.44,0.00,59.56,34.22,697.32
45,230,59.47,38.95,48.44,0.00,59.56,34.22,702.14
45,235,59.89,38.98,0.00,0.00,59.56,34.22,707.23
45,240,59.92,38.62,6.97,0.00,59.56,34.22,711.99
45,245,60.31,38.69,0.00,0.00,59.56,34.22,717.21
45,250,60.28,38.66,7.92,0.00,59.56,34.22,722.37
45,255,60.41,38.95,1.66,0.00,59.56,34.22,727.95
45,260,60.22,38.95,18.23,0.00,59.56,34.22,733.34
45,265,59.99,39.23,29.41,0.00,59.56,34.22,738.78
45,270,58.93,38.95,79.41,0.00,59.56,34.22,744.14
45,275,58.28,39.27,100.00,0.00,59.56,34.22,750.47
45,280,57.51,38.95,100.00,0.00,59.56,34.22,757.25
45,285,56.99,39.01,100.00,0.00,59.56,34.22,764.61
45,290,56.67,39.01,100.00,0.00,59.56,34.22,772.29
45,295,56.41,38.91,100.00,0.00,59.56,34.22,780.13
45,300,56.35,38.62,100.00,0.00,59.56,34.22,787.74
45,305,56.99,38.75,100.00,0.00,59.56,34.22,794.84
45,310,57.64,38.88,100.00,0.00,59.56,34.22,801.42
45,315,58.57,38.98,100.00,0.00,59.56,34.22,807.17
45,320,59.22,38.95,50.00,0.00,59.56,34.22,812.24
45,325,60.12,38.95,0.00,0.00,59.56,34.22,817.53
45,330,60.54,38.95,0.00,0.00,59.56,34.22,823.24
45,335,60.86,38.95,0.00,0.00,59.56,34.22,829.27
45,340,60.54,38.95,0.00,0.00,59.56,34.22,834.98
45,345,60.22,38.85,26.72,0.00,59.56,34.22,840.27
45,350,59.73,38.95,65.88,0.00,59.56,34.22,845.17
45,355,59.12,38.95,100.00,0.00,59.56,34.22,850.34
45,360,58.73,38.98,100.00,0.00,59.56,34.22,855.93
45,365,58.64,39.07,100.00,0.00,59.56,34.22,861.70
45,370,58.60,39.23,100.00,0.00,59.56,34.22,867.67
45,375,58.48,39.04,100.00,0.00,59.56,34.22,873.57
45,380,58.80,38.95,100.00,0.00,59.56,34.22,879.06
45,385,59.25,39.01,50.00,0.00,59.56,34.22,884.16
45,390,59.57,39.23,12.40,0.00,59.56,34.22,889.18
45,395,60.22,39.17,0.00,0.00,59.56,34.22,894.79
45,400,60.22,38.98,10.88,0.00,59.56,34.22,900.21
45,405,60.54,39.27,0.00,0.00,59.56,34.22,906.24
45,410,60.22,39.27,24.80,0.00,59.56,34.22,911.95
45,415,59.92,39.20,40.27,0.00,59.56,34.22,917.29
45,420,59.54,39.27,85.03,0.00,59.56,34.22,922.36
45,425,58.86,39.27,100.00,0.00,59.56,34.22,928.11
45,430,58.22,39.27,100.00,0.00,59.56,34.22,934.50
45,435,57.38,38.88,100.00,0.00,59.56,34.22,941.34
45,440,57.12,38.62,100.00,0.00,59.56,34.22,948.18
45,445,56.86,38.62,100.00,0.00,59.56,34.22,955.28
45,450,56.99,38.62,100.00,0.00,60.10,34.22,962.79
45,455,57.38,38.46,100.00,0.00,60.10,34.22,969.75
45,460,57.96,38.40,100.00,0.00,60.10,34.22,976.07
45,465,58.60,38.59,100.00,0.00,60.10,34.22,981.94
45,470,59.34,38.62,97.00,0.00,60.10,34.22,987.10
45,475,60.22,38.72,47.00,0.00,60.10,34.22,991.72
45,480,60.86,38.91,0.00,0.00,60.10,34.22,997.17
45,485,61.70,38.95,0.00,0.00,60.10,34.22,1003.50
45,490,61.83,38.82,0.00,0.00,60.10,34.22,1009.83
45,495,62.15,38.95,0.00,0.00,60.10,34.22,1016.61
45,500,62.15,39.27,0.00,0.00,60.10,34.22,1023.71
45,505,61.86,39.27,0.00,0.00,60.10,34.22,1030.52
45,510,61.50,39.27,0.00,0.00,60.10,34.22,1036.97
45,515,60.86,39.36,28.56,0.00,60.10,34.22,1042.87
45,520,60.22,39.56,78.56,0.00,60.10,34.22,1048.33
45,525,59.22,39.36,100.00,0.00,60.10,34.22,1054.35
45,530,58.64,39.56,100.00,0.00,60.10,34.22,1061.15
45,535,58.31,39.59,100.00,0.00,60.10,34.22,1068.31
45,540,58.06,39.69,100.00,0.00,60.10,34.22,1075.82
45,545,57.99,39.59,100.00,0.00,60.10,34.22,1083.30
45,550,57.80,39.23,100.00,0.00,60.10,34.22,1090.61
45,555,57.96,39.27,100.00,0.00,60.10,36.19,1095.83
45,560,58.60,39.14,100.00,0.00,60.10,36.19,1100.28
45,565,58.93,38.95,100.00,0.00,60.10,36.19,1104.21
45,570,59.47,39.01,95.28,0.00,60.10,36.19,1107.66
45,575,59.57,38.91,84.76,0.00,60.10,36.19,1110.91
45,580,59.99,38.62,34.76,0.00,60.10,36.19,1113.45
45,585,61.05,38.95,0.00,0.00,60.10,36.19,1117.16
45,590,61.83,38.98,0.00,0.00,60.10,36.19,1121.68
45,595,62.15,39.27,0.00,0.00,60.10,36.19,1126.81
45,600,62.47,39.27,0.00,0.00,60.10,36.19,1132.26
45,605,62.47,39.59,0.00,0.00,60.10,36.19,1138.03
45,610,62.15,39.62,0.00,0.00,60.10,36.19,1143.51
45,615,61.57,39.65,0.00,0.00,60.10,36.19,1148.44
45,620,60.92,39.81,24.45,0.00,60.10,36.19,1152.88
45,625,60.22,39.59,74.45,0.00,60.10,36.19,1156.40
45,630,59.25,39.59,100.00,0.00,60.10,36.19,1160.65
45,635,57.96,39.27,100.00,0.00,60.10,36.19,1165.87
45,640,57.67,39.20,100.00,0.00,60.10,36.19,1171.31
45,645,57.48,39.27,100.00,0.00,60.10,36.19,1177.01
45,650,57.64,39.27,100.00,0.00,60.10,36.19,1182.55
45,655,57.99,39.27,100.00,0.00,60.10,36.19,1187.74
