Episode,Time,T1,T2,Q1,Q2,TSP1,TSP2,IAE
52,0,28.63,28.63,50.00,0.00,34.29,25.84,8.45
52,5,28.54,28.63,100.00,0.00,34.29,25.84,16.99
52,10,28.63,28.63,100.00,0.00,34.29,25.84,25.44
52,15,28.86,28.63,100.00,0.00,34.29,25.84,33.66
52,20,29.31,28.66,100.00,0.00,34.29,25.84,41.46
52,25,30.24,28.57,100.00,0.00,34.29,25.84,48.24
52,30,31.21,28.60,92.95,0.00,34.29,25.84,54.08
52,35,32.53,28.66,42.95,0.00,34.29,25.84,58.66
52,40,34.08,28.60,0.00,0.00,34.29,25.84,61.63
52,45,35.40,28.63,0.00,0.00,34.29,25.84,65.53
52,50,36.56,28.63,0.00,0.00,34.29,25.84,70.59
52,55,37.33,28.63,0.00,0.00,34.29,25.84,76.42
52,60,38.01,28.63,0.00,0.00,34.29,25.84,82.93
52,65,38.49,28.86,0.00,0.00,34.29,25.84,90.15
52,70,38.62,28.92,0.00,0.00,34.29,25.84,97.56
52,75,38.62,28.99,0.00,0.00,34.29,25.84,105.04
52,80,38.62,28.95,0.00,0.00,34.29,25.84,112.48
52,85,38.62,29.21,0.00,0.00,34.29,25.84,120.18
52,90,38.62,29.28,0.00,0.00,34.29,25.84,127.95
52,95,38.30,29.28,0.00,0.00,34.29,25.84,135.40
52,100,38.20,29.34,0.00,0.00,34.29,25.84,142.81
52,105,37.98,29.37,0.00,0.00,34.29,25.84,150.03
52,110,37.43,29.28,0.00,0.00,34.29,25.84,156.61
52,115,37.01,29.28,0.00,0.00,34.29,25.84,162.77
52,120,36.50,29.28,0.00,0.00,34.29,25.84,168.42
52,125,36.40,29.28,0.00,0.00,34.29,25.84,173.97
52,130,36.05,29.34,0.00,0.00,34.29,25.84,179.23
52,135,35.95,29.34,0.00,0.00,34.29,25.84,184.39
52,140,35.72,29.57,0.00,0.00,34.29,25.84,189.55
52,145,35.40,29.54,0.00,0.00,34.29,25.84,194.36
52,150,35.21,29.60,0.00,0.00,34.29,25.84,199.04
52,155,35.08,29.50,0.00,0.00,34.29,25.84,203.49
52,160,34.79,29.44,0.00,0.00,34.29,25.84,207.59
52,165,34.69,29.41,0.00,0.00,34.29,25.84,211.56
52,170,34.43,29.50,0.00,0.00,34.29,25.84,215.36
52,175,34.11,29.28,36.65,0.00,34.29,25.84,218.98
52,180,33.82,29.28,53.70,0.00,34.29,25.84,222.89
52,185,33.56,29.28,53.34,0.00,34.29,25.84,227.06
52,190,33.53,29.28,50.00,0.00,34.29,25.84,231.26
52,195,33.79,29.28,28.29,0.00,34.29,25.84,235.20
52,200,34.11,29.28,0.00,0.00,34.29,25.84,238.82
52,205,34.43,29.28,0.00,0.00,34.29,25.84,242.40
52,210,34.76,29.28,0.00,0.00,34.29,25.84,246.31
52,215,35.11,29.28,0.00,0.00,34.29,25.84,250.57
52,220,35.37,29.28,0.00,0.00,34.29,25.84,255.09
52,225,35.40,29.28,0.00,0.00,34.29,25.84,259.64
52,230,35.40,29.31,0.00,0.00,34.29,25.84,264.22
52,235,35.40,29.28,0.00,0.00,34.29,25.84,268.77
52,240,35.40,29.31,0.00,0.00,34.29,25.84,273.35
52,245,35.14,29.31,0.00,0.00,34.29,25.84,277.67
52,250,35.11,29.28,0.00,0.00,34.29,25.84,281.93
52,255,34.76,29.25,0.00,0.00,34.29,25.84,285.81
52,260,34.43,29.18,0.00,0.00,34.29,25.84,289.29
52,265,34.11,29.25,38.99,0.00,34.29,25.84,292.88
52,270,34.02,29.05,31.52,0.00,34.29,25.84,296.36
52,275,33.82,29.05,51.27,0.00,34.29,25.84,300.04
52,280,33.79,29.12,43.60,0.00,34.29,25.84,303.82
52,285,33.50,28.95,55.24,0.00,34.29,25.84,307.72
52,290,33.82,28.95,26.70,0.00,34.29,25.84,311.30
52,295,34.11,28.99,0.00,0.00,34.29,25.84,314.63
52,300,34.43,28.95,0.00,0.00,34.29,25.84,317.88
52,305,34.76,28.86,0.00,0.00,34.29,25.84,321.37
52,310,34.95,28.95,0.00,0.00,34.29,25.84,325.14
52,315,35.08,28.95,0.00,0.00,34.29,25.84,329.04
52,320,35.08,28.95,0.00,0.00,34.29,25.84,332.94
52,325,35.08,28.99,0.00,0.00,34.29,25.84,336.88
52,330,35.08,29.08,0.00,0.00,34.29,25.84,340.91
52,335,35.08,29.28,0.00,50.00,34.29,46.05,358.47
52,340,35.08,29.37,0.00,100.00,34.29,46.05,375.94
52,345,34.92,29.47,0.00,100.00,34.29,46.05,393.15
52,350,34.43,29.12,18.71,100.00,34.29,46.05,410.22
52,355,33.95,29.63,59.02,100.00,34.29,46.05,426.98
52,360,33.66,30.11,56.58,100.00,34.29,46.05,443.55
52,365,33.53,30.82,53.82,100.00,34.29,46.05,459.54
52,370,33.79,31.27,25.51,100.00,34.29,46.05,474.82
52,375,34.21,32.40,0.00,100.00,34.29,46.05,488.55
52,380,34.76,32.63,0.00,100.00,34.29,46.05,502.44
52,385,35.08,34.05,0.00,100.00,34.29,46.05,515.23
52,390,35.40,34.88,0.00,100.00,34.29,46.05,527.51
52,395,35.76,35.27,0.00,100.00,34.29,46.05,539.76
52,400,36.05,36.62,0.00,100.00,34.29,46.05,550.95
52,405,36.08,37.37,0.00,100.00,34.29,46.05,561.42
52,410,36.40,37.82,0.00,100.00,34.29,46.05,571.76
52,415,36.08,38.88,0.00,100.00,28.29,46.05,586.72
52,420,35.72,39.07,0.00,100.00,28.29,46.05,601.13
52,425,35.40,39.59,0.00,100.00,28.29,46.05,614.70
52,430,35.40,40.23,0.00,100.00,28.29,46.05,627.63
52,435,35.40,41.10,0.00,100.00,28.29,46.05,639.69
52,440,35.40,42.43,0.00,100.00,28.29,46.05,650.42
52,445,35.40,42.75,0.00,100.00,28.29,46.05,660.83
52,450,35.40,43.88,0.00,100.00,28.29,46.05,670.11
52,455,35.08,44.17,0.00,100.00,28.29,46.05,678.78
52,460,35.08,45.04,0.00,100.00,28.29,46.05,686.58
52,465,35.08,45.55,0.00,57.37,28.29,46.05,693.87
52,470,34.82,45.16,0.00,100.00,28.29,46.05,701.29
52,475,34.76,46.20,0.00,50.00,28.29,46.05,707.91
52,480,34.76,46.65,0.00,0.00,28.29,46.05,714.98
52,485,34.76,47.00,0.00,0.00,28.29,46.05,722.40
52,490,34.76,47.20,0.00,0.00,28.29,46.05,730.02
52,495,34.43,46.68,0.00,0.00,28.29,46.05,736.79
52,500,34.14,46.26,0.00,39.16,28.29,46.05,742.85
52,505,34.11,46.07,0.00,62.77,28.29,46.05,748.69
52,510,34.11,46.39,0.00,12.78,28.29,46.05,754.85
52,515,34.08,46.03,0.00,60.15,28.29,46.05,760.66
52,520,34.11,46.33,0.00,10.15,28.29,46.05,766.76
52,525,34.18,46.07,0.00,47.29,28.29,46.05,772.67
52,530,34.11,46.13,0.00,21.35,28.29,46.05,778.57
52,535,34.34,45.87,0.00,71.35,28.29,46.05,784.80
52,540,34.30,45.81,0.00,80.78,28.29,46.05,791.05
52,545,34.43,46.03,0.00,30.78,28.29,46.05,797.21
52,550,34.11,45.23,0.00,80.78,28.29,46.05,803.85
52,555,33.95,45.52,0.00,100.00,28.29,46.05,810.04
