Episode,Time,T1,T2,Q1,Q2,TSP1,TSP2,IAE
49,0,28.31,28.41,50.00,50.00,34.22,57.80,35.30
49,5,28.21,28.54,100.00,100.00,34.22,57.80,70.57
49,10,28.28,28.66,100.00,100.00,34.22,57.80,105.65
49,15,28.54,28.95,100.00,100.00,34.22,57.80,140.18
49,20,29.15,29.31,100.00,100.00,34.22,57.80,173.74
49,25,29.95,29.63,100.00,100.00,34.22,57.80,206.18
49,30,30.89,29.82,99.22,100.00,34.22,57.80,237.49
49,35,32.18,30.41,49.23,100.00,34.22,57.80,266.92
49,40,33.79,31.37,0.00,100.00,34.22,57.80,293.78
49,45,35.08,32.31,0.00,100.00,34.22,57.80,320.13
49,50,36.59,33.53,0.00,100.00,34.22,57.80,346.77
49,55,37.66,34.50,0.00,100.00,34.22,57.80,373.51
49,60,38.37,35.05,0.00,100.00,34.22,57.80,400.41
49,65,38.95,36.59,0.00,100.00,34.22,57.80,426.35
49,70,39.27,37.30,0.00,100.00,34.22,57.80,451.90
49,75,39.62,38.27,0.00,100.00,34.22,57.80,476.83
49,80,39.91,39.33,0.00,100.00,34.22,57.80,500.99
49,85,39.94,39.91,0.00,100.00,34.22,57.80,524.60
49,90,39.91,41.04,0.00,100.00,34.22,57.80,547.05
49,95,39.85,41.62,0.00,100.00,34.22,57.80,568.86
49,100,39.91,42.97,0.00,100.00,34.22,57.80,589.38
49,105,39.94,43.75,0.00,100.00,34.22,57.80,609.15
49,110,39.91,44.59,0.00,100.00,34.22,57.80,628.05
49,115,39.88,45.36,0.00,100.00,34.22,57.80,646.15
49,120,39.91,45.84,0.00,100.00,34.22,57.80,663.80
49,125,39.91,46.84,0.00,100.00,34.22,57.80,680.45
49,130,39.62,46.78,0.00,100.00,34.22,57.80,696.87
49,135,38.95,47.07,0.00,100.00,34.22,57.80,712.33
49,140,38.53,47.32,0.00,100.00,34.22,57.80,727.12
49,145,38.30,47.84,0.00,100.00,34.22,57.80,741.16
49,150,37.98,47.74,0.00,100.00,34.22,57.80,754.98
49,155,37.75,48.55,0.00,100.00,34.22,57.80,767.76
49,160,37.66,48.77,0.00,100.00,34.22,57.80,780.23
49,165,37.30,49.35,0.00,100.00,34.22,57.80,791.76
49,170,37.33,50.16,0.00,100.00,34.22,57.80,802.51
49,175,37.33,50.64,0.00,100.00,34.22,57.80,812.78
49,180,37.27,51.35,0.00,100.00,34.22,57.80,822.28
49,185,37.24,51.84,0.00,100.00,34.22,57.80,831.26
49,190,37.27,52.03,0.00,100.00,34.22,57.80,840.08
49,195,37.33,52.77,0.00,100.00,34.22,57.80,848.22
49,200,37.33,53.35,0.00,100.00,34.22,57.80,855.78
49,205,37.33,53.74,0.00,100.00,34.22,57.80,862.95
49,210,37.33,54.19,0.00,100.00,34.22,57.80,869.67
49,215,37.37,54.35,0.00,100.00,34.22,57.80,876.27
49,220,37.43,54.90,0.00,100.00,34.22,57.80,882.38
49,225,37.62,55.03,0.00,100.00,34.22,57.80,888.55
49,230,37.66,55.03,0.00,100.00,34.22,57.80,894.76
49,235,37.66,55.32,0.00,100.00,34.22,57.80,900.68
49,240,37.69,55.64,0.00,100.00,34.22,57.80,906.31
49,245,37.72,55.93,0.00,100.00,34.22,57.80,911.68
49,250,37.66,56.15,0.00,100.00,34.22,57.80,916.77
49,255,37.66,56.44,0.00,100.00,34.22,57.80,921.57
49,260,37.72,56.96,0.00,100.00,34.22,57.80,925.91
49,265,37.66,57.44,0.00,100.00,34.22,57.80,929.71
49,270,37.69,57.90,0.00,50.00,34.22,57.80,933.28
49,275,37.69,57.77,0.00,54.57,34.22,57.80,936.78
49,280,37.82,57.86,0.00,49.52,34.22,57.80,940.44
49,285,37.91,57.93,0.00,50.68,34.22,57.80,944.26
49,290,37.98,57.93,0.00,56.63,34.22,57.80,948.15
49,295,37.98,57.67,0.00,100.00,34.22,57.80,952.04
49,300,38.11,57.80,0.00,55.23,34.22,57.80,955.93
49,305,38.20,57.41,0.00,100.00,34.22,57.80,960.30
49,310,38.30,57.51,0.00,100.00,34.22,57.80,964.67
49,315,38.33,57.51,0.00,100.00,34.22,57.80,969.07
49,320,38.01,57.15,0.00,100.00,34.22,57.80,973.51
49,325,37.85,56.86,0.00,100.00,34.22,57.80,978.08
49,330,37.66,56.60,0.00,100.00,34.22,57.80,982.72
49,335,37.14,55.16,0.00,100.00,34.22,57.80,988.28
49,340,36.69,55.16,0.00,100.00,34.22,57.80,993.39
49,345,36.66,55.12,0.00,100.00,34.22,57.80,998.51
49,350,36.69,55.67,0.00,100.00,34.22,57.80,1003.11
49,355,36.69,55.99,0.00,100.00,34.22,57.80,1007.39
49,360,36.69,56.28,0.00,100.00,34.22,57.80,1011.38
49,365,36.91,56.73,0.00,100.00,34.22,57.80,1015.14
49,370,37.01,56.44,0.00,100.00,34.22,57.80,1019.29
49,375,37.11,57.28,0.00,100.00,34.22,57.80,1022.70
49,380,37.33,57.60,0.00,80.27,34.22,57.80,1026.01
49,385,37.33,57.73,0.00,61.54,34.22,57.80,1029.19
49,390,37.53,57.41,0.00,100.00,34.22,57.80,1032.89
49,395,37.62,57.41,0.00,100.00,34.22,57.80,1036.68
49,400,37.62,58.15,0.00,50.00,34.22,57.80,1040.43
49,405,37.69,57.48,0.00,100.00,34.22,57.80,1044.22
49,410,37.66,57.70,0.00,81.24,34.22,57.80,1047.76
49,415,37.66,57.51,0.00,100.00,34.22,57.80,1051.49
49,420,37.66,57.12,0.00,100.00,34.22,57.80,1055.61
49,425,37.33,56.67,0.00,50.00,34.22,28.26,1087.13
49,430,37.30,56.57,0.00,0.00,34.22,28.26,1118.52
49,435,37.33,56.67,0.00,0.00,34.22,28.26,1150.04
49,440,37.33,56.73,0.00,0.00,34.22,28.26,1181.62
49,445,37.33,56.80,0.00,0.00,34.22,28.26,1213.27
49,450,37.33,56.70,0.00,0.00,34.22,28.26,1244.82
49,455,37.37,56.41,0.00,0.00,34.22,28.26,1276.12
49,460,37.04,55.09,0.00,0.00,34.22,28.26,1305.77
49,465,36.69,53.77,0.00,0.00,34.22,28.26,1333.75
49,470,36.37,52.80,0.00,0.00,34.22,28.26,1360.44
49,475,36.37,52.19,0.00,0.00,34.22,28.26,1386.52
49,480,36.37,51.84,0.00,0.00,34.22,28.26,1412.25
49,485,36.37,51.19,0.00,0.00,34.22,28.26,1437.33
49,490,36.37,50.71,0.00,0.00,34.22,28.26,1461.93
