Episode,Time,T1,T2,Q1,Q2,TSP1,TSP2,IAE
53,0,28.95,28.95,50.00,50.00,44.28,50.60,36.98
53,5,28.95,29.25,100.00,100.00,44.28,50.60,73.66
53,10,28.76,28.92,100.00,100.00,44.28,50.60,110.86
53,15,28.92,29.15,100.00,100.00,44.28,50.60,147.67
53,20,29.60,29.15,100.00,100.00,44.28,50.60,183.80
53,25,30.34,29.63,100.00,100.00,44.28,50.60,218.71
53,30,31.57,30.76,100.00,100.00,44.28,50.60,251.26
53,35,32.82,31.18,100.00,100.00,44.28,50.60,282.14
53,40,34.40,31.66,100.00,100.00,44.28,50.60,310.96
53,45,35.50,32.76,100.00,100.00,44.28,50.60,337.58
53,50,36.75,33.02,100.00,100.00,44.28,50.60,362.69
53,55,38.01,33.89,100.00,100.00,44.28,50.60,385.67
53,60,39.30,34.95,100.00,100.00,44.28,50.60,406.30
53,65,40.72,35.53,100.00,100.00,44.28,50.60,424.93
53,70,42.17,36.30,91.08,100.00,44.28,50.60,441.34
53,75,43.39,37.11,41.09,100.00,44.28,50.60,455.72
53,80,44.78,38.43,0.00,100.00,44.28,50.60,468.39
53,85,46.36,39.43,0.00,100.00,44.28,50.60,481.64
53,90,47.68,40.04,0.00,100.00,44.28,50.60,495.60
53,95,48.65,41.65,0.00,100.00,44.28,50.60,508.92
53,100,49.45,42.27,0.00,100.00,44.28,50.60,522.42
53,105,49.87,43.62,0.00,100.00,44.28,50.60,534.99
53,110,49.87,43.91,0.00,100.00,44.28,50.60,547.27
53,115,49.90,45.45,0.00,100.00,44.28,50.60,558.04
53,120,50.00,45.81,0.00,100.00,44.28,50.60,568.55
53,125,49.65,46.94,0.00,100.00,44.28,50.60,577.58
53,130,49.58,47.97,0.00,100.00,44.28,50.60,585.51
53,135,49.42,48.48,0.00,100.00,44.28,50.60,592.77
53,140,49.19,49.19,0.00,100.00,44.28,50.60,599.09
53,145,48.94,49.74,0.00,100.00,44.28,50.60,604.61
53,150,48.32,50.55,0.00,50.00,44.28,50.60,608.70
53,155,47.84,50.55,0.00,0.00,44.28,50.60,612.31
53,160,47.65,51.22,0.00,0.00,44.28,50.60,616.30
53,165,47.36,51.84,0.00,0.00,44.28,50.60,620.62
53,170,47.07,52.19,0.00,0.00,44.28,50.60,625.00
53,175,46.71,52.26,0.00,0.00,44.28,50.60,629.09
53,180,46.36,52.16,0.00,0.00,44.28,50.60,632.73
53,185,46.03,51.71,0.00,0.00,44.28,50.60,635.59
