E1,E2,Over,Q1,Q2,T1,T2,Tsp1,Tsp2,Under,policy_loss,q_loss,reward_mean,step,total_error,total_return,v_loss
2774.349000000003,3054.8073000000018,2459.8342000000052,62.82399004300435,57.81127488613129,56.91012250000001,42.09909458333333,47.971291666666666,54.82745833333332,3369.3221000000017,4.551921367645264,428.91143798828125,-7.144265174865723,5000,11658.31260000001,-4237.703620696583,0.29384738206863403
628.993399999998,2122.4406999999946,257.6797000000002,42.87629559834798,80.16378775437673,47.24918,46.23259208333333,47.971291666666666,54.82745833333332,2493.754399999998,71.50343322753906,59.43824005126953,-6.937046051025391,10000,5502.868199999991,-2269.5426778729693,0.36380621790885925
612.8427000000013,2215.1209000000017,95.31269999999981,40.109105332692465,80.61574194884548,45.83508875,45.974752083333335,47.971291666666666,54.82745833333332,2732.6509000000065,329.9858703613281,59.3886833190918,-6.937046051025391,15000,5655.927200000009,-2357.0350248505465,0.4392074644565582
643.1615999999997,2094.903000000003,79.37019999999993,39.338575677076975,82.89923769632975,45.53024666666667,46.52131916666666,47.971291666666666,54.82745833333332,2658.694400000003,3.3128254413604736,77.84162139892578,-6.937046051025391,20000,5476.129200000005,-2242.920080828537,0.45419830083847046
598.4680999999991,2033.9883000000038,156.13069999999976,40.76350211699803,83.48231947124005,46.31585291666667,46.81541791666666,47.971291666666666,54.82745833333332,2476.3256999999976,0.2595582902431488,92.12999725341797,-6.937046051025391,25000,5264.9128,-2186.632417006295,0.40027815103530884
673.9674999999999,2185.4693000000034,141.02319999999975,40.35556456943353,81.40109088818232,45.92372125,46.135902083333335,47.971291666666666,54.82745833333332,2718.4136000000044,15.650239944458008,79.79084777832031,-6.937046051025391,30000,5718.873600000007,-2357.637368080323,0.24490714073181152
656.3273000000004,2217.699300000003,147.02889999999968,40.48436099092166,81.27903398275376,46.00429625,46.04458375,47.971291666666666,54.82745833333332,2726.997699999999,0.7153235673904419,91.24072265625,-6.937046051025391,35000,5748.053200000002,-2385.542977643004,0.3038947582244873
495.6915000000025,1926.8425000000025,145.60339999999965,41.122615013519926,85.37229406535626,46.616666249999994,47.30155375,47.971291666666666,54.82745833333332,2276.930599999993,4.654924392700195,86.38905334472656,-6.937046051025391,40000,4845.0679999999975,-2053.937082254261,0.2485995590686798
550.6814000000021,2037.0691000000031,143.93019999999962,40.89785987138748,83.89374502102534,46.392399166666664,46.82347541666666,47.971291666666666,54.82745833333332,2443.820299999992,8.681986808776855,85.41004180908203,-6.937046051025391,45000,5175.500999999997,-2180.7141977895412,0.2500581741333008
437.4628000000032,1868.0038000000045,116.0766999999996,41.087064467867215,86.07036468585332,46.642181666666666,47.51776333333332,47.971291666666666,54.82745833333332,2189.389900000002,3.6792469024658203,96.52525329589844,-6.937046051025391,50000,4610.9332000000095,-1982.7493637860603,0.2948895990848541
475.521100000003,1942.7774000000034,139.4568999999996,41.22516089280446,85.11049536466598,46.67575458333332,47.20889249999998,47.971291666666666,54.82745833333332,2278.841600000002,6.960733890533447,90.90888214111328,-6.937046051025391,55000,4836.597000000008,-2069.1841755680966,0.30243903398513794
470.8971000000031,1953.4133000000022,122.3190999999996,41.02386721968651,85.04161300857862,46.54952041666666,47.16726208333333,47.971291666666666,54.82745833333332,2301.991300000005,2.531512975692749,89.39498901367188,-6.937046051025391,60000,4848.62080000001,-2077.9624428154643,0.3494437336921692
409.30370000000335,1873.482900000005,126.65309999999944,41.50840460062027,85.71516952713331,46.871820416666665,47.470761249999995,47.971291666666666,54.82745833333332,2156.1334999999995,0.20945419371128082,99.43400573730469,-6.937046051025391,65000,4565.573200000008,-1980.1299636501117,0.3853534162044525
439.67460000000335,1886.3749000000028,148.7679999999995,41.553648386398955,85.799284050862,46.91076499999999,47.43584541666666,47.971291666666666,54.82745833333332,2177.281500000008,3.88348650932312,109.89148712158203,-6.937046051025391,70000,4652.099000000013,-2003.8367389934836,0.5108569264411926
429.13210000000333,1847.3766000000026,142.69099999999935,41.53130276004473,86.30498194495837,46.904050416666664,47.59833833333334,47.971291666666666,54.82745833333332,2133.817700000005,0.015257579274475574,100.86335754394531,-6.937046051025391,75000,4553.01740000001,-1963.648399246486,0.5492593050003052
436.7043000000032,1848.5236000000014,147.6951999999994,41.45420980602503,86.44474162509044,46.89867875,47.60908166666666,47.971291666666666,54.82745833333332,2137.532700000005,3.2528131008148193,97.52185821533203,-6.937046051025391,80000,4570.455800000009,-1965.3179171034612,0.3863326907157898
434.90460000000314,1863.671700000002,143.73349999999934,41.45873942375183,86.19228297869364,46.86510583333333,47.55402208333333,47.971291666666666,54.82745833333332,2154.842800000005,0.17538639903068542,93.2928466796875,-6.937046051025391,85000,4597.152600000009,-1980.3891470301637,0.32804203033447266
410.5985000000029,1795.6663999999992,125.6178999999995,41.23669719199339,87.39685358665884,46.80467458333332,47.84812083333334,47.971291666666666,54.82745833333332,2080.646999999999,10.42225456237793,113.51971435546875,-6.937046051025391,90000,4412.5298,-1906.1108618560029,0.5323770642280579
420.2819000000035,1877.3505000000036,122.4731999999995,41.34790604710579,85.86682000060877,46.785873749999986,47.46001791666666,47.971291666666666,54.82745833333332,2175.159200000002,0.6466374397277832,94.12763214111328,-6.937046051025391,95000,4595.264800000008,-1989.5858523274628,0.3741534352302551
424.99560000000315,1833.3755,131.68839999999938,41.35147155324618,86.75855718205372,46.80601749999999,47.68025625,47.971291666666666,54.82745833333332,2126.6827,3.009103536605835,92.66181945800781,-6.937046051025391,100000,4516.742200000002,-1948.1073223733533,0.41569459438323975
