E1,E2,Over,Q1,Q2,T1,T2,Tsp1,Tsp2,Under,policy_loss,q_loss,reward_mean,step,total_return,v_loss
477.58360000000187,1812.1037000000038,162.1722999999997,41.34169645359119,86.64627885868153,46.832875833333325,47.77694625,47.971291666666666,54.82745833333332,2127.514999999995,3741.89794921875,791.415771484375,-7.144265174865723,5000,-1927.6277055235203,3.7458417415618896
485.4539000000006,1936.9760000000056,99.94589999999994,40.49243939220905,85.24830576678117,46.33465375,47.20352083333332,47.971291666666666,54.82745833333332,2322.483999999997,1023.7631225585938,133.14404296875,-6.937046051025391,10000,-2054.504947107743,7.161462783813477
521.2255000000011,2001.4360000000008,85.92399999999992,40.14409955143928,84.50054366985957,46.092928750000006,46.910765,47.971291666666666,54.82745833333332,2436.737500000005,425.9327087402344,184.912109375,-6.937046051025391,15000,-2127.6617597217055,5.188779354095459
488.81100000000123,1943.099700000003,90.82739999999993,40.32595141132673,85.42017323970795,46.25273583333333,47.16994791666668,47.971291666666666,54.82745833333332,2341.083299999998,471.7705078125,238.37705993652344,-6.937046051025391,20000,-2067.904412639545,5.696415901184082
475.2840000000017,1924.084000000003,97.60049999999994,40.620651911695795,85.78842911385,46.349425833333335,47.265295,47.971291666666666,54.82745833333332,2301.7674999999967,413.9571228027344,288.4394226074219,-6.937046051025391,25000,-2048.787641419045,5.541974067687988
464.9741000000012,1887.0195000000058,96.79659999999993,40.48089341421922,86.27240857581297,46.38568458333334,47.41973041666667,47.971291666666666,54.82745833333332,2255.1969999999983,358.4367980957031,325.9307861328125,-6.937046051025391,30000,-2008.909957941285,5.098903656005859
451.0037000000019,1861.8801000000053,95.93509999999993,40.57498809397221,86.65834702501694,46.43671541666667,47.52447791666667,47.971291666666666,54.82745833333332,2216.948699999998,292.3636779785156,354.7081298828125,-6.937046051025391,35000,-1981.855438320174,4.68750524520874
463.34930000000134,1880.2512000000038,88.24899999999991,40.44064634169141,86.26687314361334,46.34539708333333,47.42375916666666,47.971291666666666,54.82745833333332,2255.351499999995,261.5390625,378.5135498046875,-6.937046051025391,40000,-2003.3710544561052,4.438364028930664
455.06060000000156,1860.5909000000051,90.38949999999991,40.444388671964404,86.5001615981261,46.38971333333334,47.51373458333333,47.971291666666666,54.82745833333332,2225.261999999995,227.05079650878906,394.95257568359375,-6.937046051025391,45000,-1980.9421137355052,4.641920566558838
444.1576000000017,1821.2703000000033,95.57389999999994,40.53723512838284,87.15375582526127,46.44611583333334,47.70980041666667,47.971291666666666,54.82745833333332,2169.853999999999,273.203857421875,404.4221496582031,-6.937046051025391,50000,-1941.2910115274694,5.356573104858398
445.0993000000017,1839.963700000006,93.62749999999994,40.540368593732516,86.73749100317558,46.43940125000001,47.61848208333333,47.971291666666666,54.82745833333332,2191.4354999999982,89.36943817138672,418.582763671875,-6.937046051025391,55000,-1958.8202734345934,4.955364227294922
435.3562000000018,1893.4655,91.17319999999987,40.68648066793879,85.90189822713533,46.49446083333334,47.36064208333334,47.971291666666666,54.82745833333332,2237.648499999996,31.2119140625,432.73455810546875,-6.937046051025391,60000,-2008.7392922017607,6.006407260894775
430.71100000000234,1860.2686000000037,93.68509999999986,40.70834691015383,86.53886558612187,46.51863333333334,47.5150775,47.971291666666666,54.82745833333332,2197.2944999999972,34.33434295654297,431.4952087402344,-6.937046051025391,65000,-1974.376626560841,6.041342735290527
430.7532000000022,1857.3679000000038,96.2845999999998,40.761061276247105,86.50098704596361,46.54012,47.52716375,47.971291666666666,54.82745833333332,2191.8364999999976,31.810991287231445,433.3397216796875,-6.937046051025391,70000,-1971.2012288038288,6.6610589027404785
428.9524000000024,1838.0299000000045,97.64029999999981,40.72786210576693,86.73652161359787,46.55086333333334,47.61579625,47.971291666666666,54.82745833333332,2169.341999999997,43.0775032043457,431.1099853515625,-6.937046051025391,75000,-1953.120710321436,6.366900444030762
435.36950000000223,1852.211100000004,97.46469999999982,40.7719273035725,86.50945507089297,46.530719583333344,47.54865041666667,47.971291666666666,54.82745833333332,2190.1158999999952,37.42748260498047,427.0863037109375,-6.937046051025391,80000,-1969.6647548700205,6.427262306213379
432.17170000000243,1859.9463000000042,95.22119999999978,40.79876654744148,86.26616970896721,46.53609125,47.50567708333333,47.971291666666666,54.82745833333332,2196.896799999995,46.61514663696289,425.4412536621094,-6.937046051025391,85000,-1977.1546824936397,6.222663402557373
428.49230000000233,1856.0787000000037,94.02609999999979,40.719600252310435,86.50089456439018,46.538777083333336,47.52447791666667,47.971291666666666,54.82745833333332,2190.544899999996,46.23747634887695,426.1490478515625,-6.937046051025391,90000,-1969.799789206556,6.382728099822998
424.6906000000024,1855.7564000000032,93.89789999999977,40.7247469715774,86.53661270141602,46.55892083333333,47.52044916666667,47.971291666666666,54.82745833333332,2186.5490999999965,46.40751266479492,428.7834777832031,-6.937046051025391,95000,-1967.5988064504313,6.616201877593994
422.64420000000206,1837.7076000000043,96.74229999999976,40.743804677327475,86.66126330693562,46.58577916666666,47.60102416666667,47.971291666666666,54.82745833333332,2163.6094999999964,61.79436492919922,425.593505859375,-6.937046051025391,100000,-1951.189837399595,6.221956729888916
