E1,E2,Over,Q1,Q2,T1,T2,Tsp1,Tsp2,Under,policy_loss,q_loss,reward_mean,step,total_return,v_loss
587.8779000000007,3294.9208000000003,20.190399999999975,41.350220141808194,61.06109190781911,45.69005374999999,41.09862166666666,47.971291666666666,54.82745833333332,3862.6083,791.5435180664062,53120016384.0,-111064.6796875,5000,-3842.417900000001,15670808.0
655.6939000000002,2701.3579000000027,23.37559999999997,39.82796689271927,71.33948828379313,45.37043958333333,43.635391250000005,47.971291666666666,54.82745833333332,3333.67620000001,236.9976348876953,4997065728.0,-111030.3828125,10000,-3310.3006000000096,22556108.0
746.4494999999982,2742.972500000002,36.70349999999997,39.241705828905104,71.72200574080149,45.013223749999995,43.552130416666664,47.971291666666666,54.82745833333332,3452.718499999996,180.2425537109375,5837257216.0,-111030.3828125,15000,-3416.0149999999967,28427158.0
836.1818999999966,2859.6451000000025,33.869299999999974,38.64548244277636,70.62993003924687,44.61572041666667,43.065994583333335,47.971291666666666,54.82745833333332,3661.9577000000045,179.21270751953125,6592634880.0,-111030.3828125,20000,-3628.088400000006,29953594.0
831.9919999999967,2781.3261999999945,32.58009999999998,38.45865481098493,71.98564652502537,44.614377499999996,43.40038083333332,47.971291666666666,54.82745833333332,3580.7380999999973,191.48675537109375,7262433792.0,-111030.3828125,25000,-3548.1579999999994,27792716.0
865.6442000000022,2780.359300000004,29.423599999999972,38.188480612635615,72.26741147041321,44.46665666666666,43.38560875,47.971291666666666,54.82745833333332,3616.5799000000043,208.28057861328125,7796318208.0,-111030.3828125,30000,-3587.156300000005,24747370.0
992.6304000000019,3020.150499999996,27.489799999999974,37.50513982872168,69.35109203656515,43.93217583333333,42.37573541666666,47.971291666666666,54.82745833333332,3985.2911,201.11944580078125,8149854208.0,-111030.3828125,35000,-3957.801300000002,21800844.0
1023.8935000000027,3113.7597000000064,25.949399999999976,37.356792311867075,68.33908324639002,43.79385541666667,41.980917916666655,47.971291666666666,54.82745833333332,4111.703800000001,193.92050170898438,8461285376.0,-111030.3828125,40000,-4085.7544000000016,19768566.0
1038.7192999999995,3247.1919,26.27169999999999,37.45432432691256,66.55149233192205,43.74819625,41.41152125,47.971291666666666,54.82745833333332,4259.639499999998,190.9020233154297,8718366720.0,-111030.3828125,45000,-4233.367799999999,18441452.0
1067.2709999999963,3072.6854000000035,33.54699999999998,37.054668519894285,69.44099277059237,43.634048333333325,42.19444166666666,47.971291666666666,54.82745833333332,4106.4094000000005,172.5858917236328,8869450752.0,-111030.3828125,50000,-4072.862400000002,17206410.0
1008.8016999999957,2666.160800000011,58.08429999999997,37.01500373284022,75.9518540640672,43.90397458333333,44.0664675,47.971291666666666,54.82745833333332,3616.8781999999965,179.63124084472656,9030962176.0,-111030.3828125,55000,-3558.7938999999965,14814821.0
1038.7755999999974,2448.143800000007,66.71529999999998,36.61807723641395,79.50807085732619,43.792512499999994,45.033367500000004,47.971291666666666,54.82745833333332,3420.2041000000036,216.4945068359375,9154932736.0,-111030.3828125,60000,-3353.4888000000037,13034995.0
937.8956999999992,2382.072300000004,67.35989999999998,37.26915972530842,80.29237746795019,44.21821708333333,45.30866541666666,47.971291666666666,54.82745833333332,3252.6081000000045,241.99627685546875,9321701376.0,-111030.3828125,65000,-3185.2482000000064,12979437.0
830.2475000000015,2316.323100000003,67.35989999999998,37.99880324502786,81.00375910488268,44.67749458333333,45.57187708333334,47.971291666666666,54.82745833333332,3079.2107000000055,227.306640625,9438989312.0,-111030.3828125,70000,-3011.850800000006,13763164.0
824.3131000000012,2285.060000000003,72.12789999999998,38.02271191577117,81.49283500264089,44.71778208333333,45.72631249999999,47.971291666666666,54.82745833333332,3037.245200000002,214.7357177734375,9536035840.0,-111030.3828125,75000,-2965.117300000004,15330840.0
863.3114000000002,2299.563499999995,74.38399999999999,37.79884077211221,81.48010606306295,44.55797499999999,45.681996250000005,47.971291666666666,54.82745833333332,3088.490899999998,207.72891235351562,9610196992.0,-111030.3828125,80000,-3014.1068999999998,17164206.0
892.318399999999,2351.131499999998,75.67319999999998,37.597960795958834,80.7586775203546,44.44785583333333,45.46712958333333,47.971291666666666,54.82745833333332,3167.7767000000026,198.93869018554688,9676328960.0,-111030.3828125,85000,-3092.1035000000043,19120070.0
1019.3045999999991,2523.8843000000024,71.80559999999998,36.95997071564197,78.52180770983298,43.91874666666667,44.715096249999995,47.971291666666666,54.82745833333332,3471.3833000000022,194.968994140625,9728491520.0,-111030.3828125,90000,-3399.5777000000026,21283006.0
1227.6997000000022,2781.079700000001,72.38369999999998,35.762275244295594,75.18945813775062,43.06062291666667,43.63807708333333,47.971291666666666,54.82745833333332,3936.3956999999987,215.82174682617188,9795406848.0,-111030.3828125,95000,-3864.0119999999984,23656648.0
1164.206600000002,2670.8531000000044,73.02829999999997,36.114173713823156,76.68508502344291,43.322491666666664,44.105412083333334,47.971291666666666,54.82745833333332,3762.031400000005,205.95343017578125,9841635328.0,-111030.3828125,100000,-3689.0031000000045,26240202.0
2540.6983999999975,4180.6485,62.27659999999997,28.187983391682305,58.173328872894245,37.58286583333334,37.72924375,47.971291666666666,54.82745833333332,6659.070299999999,205.8436279296875,9880696832.0,-111030.3828125,105000,-6596.793699999997,28864390.0
3475.818900000005,5021.311199999997,31.29089999999998,22.23982524971167,47.65126381913821,33.617232916666666,34.03756583333333,47.971291666666666,54.82745833333332,8465.839199999999,204.03311157226562,9923268608.0,-111030.3828125,110000,-8434.548299999988,31891116.0
