E1,E2,Over,Q1,Q2,T1,T2,Tsp1,Tsp2,Under,policy_loss,q_loss,reward_mean,step,total_error,total_return,v_loss
610.6615000000007,1929.0986000000055,167.95769999999982,40.636543129881225,84.6798915664355,46.38031291666666,47.235750833333334,47.971291666666666,54.82745833333332,2371.802400000003,295.6962585449219,635.743408203125,-7.144265174865723,5000,5079.52020000001,-2071.8444647682013,1.0142138004302979
707.6730999999954,2094.258399999997,74.72259999999994,38.7913282473882,83.3687789303561,45.24689125,46.499832500000004,47.971291666666666,54.82745833333332,2727.208900000001,21.286989212036133,102.50239562988281,-6.937046051025391,10000,5603.862999999994,-2264.2081267183644,2.4916863441467285
558.0755000000001,1961.7931000000049,85.65559999999994,39.828883453210196,85.23122235735258,45.90223458333333,47.11085958333332,47.971291666666666,54.82745833333332,2434.2129999999975,127.78533172607422,135.28587341308594,-6.937046051025391,15000,5039.737200000003,-2093.2656779284625,1.5993854999542236
527.3755000000015,1840.6083000000024,91.57739999999993,39.947893941402434,87.02604237000148,46.05264125,47.642654583333325,47.971291666666666,54.82745833333332,2276.4064000000017,126.33241271972656,164.7987518310547,-6.937046051025391,20000,4735.967600000005,-1970.4382744672298,1.9040331840515137
480.9176000000016,1794.0549,97.44549999999988,40.24061459501584,87.77930632034938,46.27690833333333,47.85483541666666,47.971291666666666,54.82745833333332,2177.5270000000028,114.31531524658203,186.3124542236328,-6.937046051025391,25000,4549.945000000004,-1915.3402524851952,1.779098629951477
486.65790000000106,1838.3522000000034,90.55659999999996,40.21206473956506,87.00387801329295,46.23259208333333,47.63325416666667,47.971291666666666,54.82745833333332,2234.453499999997,160.0954132080078,202.56591796875,-6.937046051025391,30000,4650.020200000001,-1959.7906461493242,2.2808470726013184
464.07650000000086,1802.7570000000007,91.11989999999992,40.273378587762515,87.5358258565267,46.31048125,47.802461666666666,47.971291666666666,54.82745833333332,2175.7135999999996,135.03451538085938,217.38845825195312,-6.937046051025391,35000,4533.667000000001,-1920.2577248852529,2.067750930786133
463.938700000001,1779.2291,93.9516999999999,40.234358727931976,87.94599754015604,46.326596249999994,47.90855208333333,47.971291666666666,54.82745833333332,2149.2160999999983,59.28180694580078,230.20614624023438,-6.937046051025391,40000,4486.335599999999,-1898.098631665902,1.8346768617630005
440.8505000000019,1863.4916000000019,88.28009999999989,40.64720435937246,86.41728039979935,46.44208708333334,47.490905000000005,47.971291666666666,54.82745833333332,2216.0619999999944,60.9979362487793,238.92208862304688,-6.937046051025391,45000,4608.684199999998,-1977.9399667628093,1.7536267042160034
430.96110000000175,1858.3347999999983,85.26919999999993,40.66630673706531,86.35740205844243,46.46625958333334,47.504334166666666,47.971291666666666,54.82745833333332,2204.0266999999953,75.03832244873047,240.92742919921875,-6.937046051025391,50000,4578.591799999995,-1969.5925492746294,1.785873293876648
428.7050000000018,1835.129200000004,88.81449999999992,40.70339826121926,86.75434446334839,46.48640333333333,47.619825,47.971291666666666,54.82745833333332,2175.0196999999966,74.55361938476562,244.0076141357422,-6.937046051025391,55000,4527.668400000002,-1946.1163943474792,1.8257124423980713
432.4348000000014,1802.8992000000042,89.06789999999995,40.54479821125666,87.34341907103857,46.45685916666667,47.77023166666666,47.971291666666666,54.82745833333332,2146.266099999998,58.80717468261719,248.82199096679688,-6.937046051025391,60000,4470.668000000003,-1914.6458448165706,2.207390308380127
432.6241000000015,1835.451500000002,86.42299999999993,40.517773526906964,86.80440210103988,46.458202083333326,47.610424583333334,47.971291666666666,54.82745833333332,2181.6525999999967,54.97258758544922,247.62384033203125,-6.937046051025391,65000,4536.1512,-1946.0985493866142,2.2143707275390625
424.57140000000203,1839.3191000000015,87.39229999999992,40.696149126936994,86.7832127953569,46.499832500000004,47.59430958333334,47.971291666666666,54.82745833333332,2176.498199999997,68.39192962646484,244.78237915039062,-6.937046051025391,70000,4527.781000000001,-1950.4700415796774,2.1907737255096436
426.3748000000018,1838.0299000000011,88.9385999999999,40.679868491366506,86.76497754454613,46.505204166666665,47.59968125,47.971291666666666,54.82745833333332,2175.4660999999965,60.80223083496094,244.65701293945312,-6.937046051025391,75000,4528.809399999999,-1949.7254646626068,2.2324652671813965
429.30660000000165,1826.1048000000046,90.40449999999989,40.603136913230024,86.92154738306999,46.49714666666667,47.657426666666666,47.971291666666666,54.82745833333332,2165.0068999999967,52.54470443725586,244.97622680664062,-6.937046051025391,80000,4510.822800000004,-1938.5952076655083,2.3322336673736572
427.6340000000018,1835.451500000001,88.60129999999992,40.72739830588301,86.81164661844572,46.49446083333333,47.61311041666668,47.971291666666666,54.82745833333332,2174.4841999999976,48.930747985839844,244.03683471679688,-6.937046051025391,85000,4526.171,-1948.6109615172475,2.4453647136688232
423.152900000002,1842.2197999999994,87.48879999999991,40.62442512388031,86.66039480219284,46.50923291666667,47.5795375,47.971291666666666,54.82745833333332,2177.883899999997,50.12576675415039,242.11495971679688,-6.937046051025391,90000,4530.745399999998,-1952.669284594036,2.4007418155670166
427.3380000000017,1825.7825000000032,90.0647999999999,40.662759380539256,86.97254599829515,46.497146666666666,47.664141250000014,47.971291666666666,54.82745833333332,2163.0556999999967,57.177696228027344,240.42483520507812,-6.937046051025391,95000,4506.241000000002,-1938.803563348706,2.4631924629211426
426.9427000000018,1823.848700000004,90.67289999999991,40.71325807273388,86.92979309558868,46.50117541666667,47.67488458333334,47.971291666666666,54.82745833333332,2160.1184999999955,53.88899612426758,238.33145141601562,-6.937046051025391,100000,4501.582800000002,-1936.512142854292,2.511256456375122
