Episode,Time,T1,T2,Q1,Q2,TSP1,TSP2,IAE
2,0,28.63,27.02,50.00,50.00,45.27,63.66,53.28
2,5,28.63,27.09,100.00,100.00,45.27,63.66,106.49
2,10,28.60,27.09,100.00,100.00,45.27,63.66,159.73
2,15,28.63,27.34,100.00,100.00,45.27,63.66,212.69
2,20,29.28,27.21,100.00,100.00,45.27,63.66,265.13
2,25,30.24,28.25,100.00,100.00,45.27,63.66,315.57
2,30,31.53,28.50,100.00,100.00,45.27,63.66,364.47
2,35,32.92,29.21,100.00,100.00,45.27,63.66,411.27
2,40,34.43,30.11,100.00,100.00,45.27,63.66,455.66
2,45,36.05,31.47,100.00,100.00,45.27,63.66,497.07
2,50,37.75,32.44,100.00,100.00,45.27,63.66,535.81
2,55,39.59,33.21,100.00,100.00,45.27,63.66,571.94
2,60,41.52,34.69,100.00,100.00,45.27,63.66,604.66
2,65,43.46,35.95,66.80,100.00,45.27,63.66,634.18
2,70,45.07,36.46,16.80,100.00,45.27,63.66,661.58
2,75,47.00,38.14,0.00,100.00,45.27,63.66,688.83
2,80,48.61,39.23,0.00,100.00,45.27,63.66,716.60
2,85,49.58,40.14,0.00,100.00,45.27,63.66,744.43
2,90,50.48,41.07,0.00,100.00,45.27,63.66,772.23
2,95,50.87,42.46,0.00,100.00,45.27,63.66,799.03
2,100,51.19,43.59,0.00,100.00,45.27,63.66,825.02
2,105,51.19,44.07,0.00,100.00,45.27,63.66,850.53
2,110,51.19,45.45,0.00,100.00,45.27,63.66,874.66
2,115,50.87,46.13,0.00,100.00,45.27,63.66,897.79
2,120,50.58,47.26,0.00,100.00,45.27,63.66,919.50
2,125,50.26,47.42,0.00,100.00,45.27,63.66,940.73
2,130,49.94,48.39,0.00,100.00,45.27,63.66,960.67
2,135,49.58,49.19,0.00,100.00,45.27,63.66,979.45
2,140,49.26,50.00,0.00,100.00,45.27,63.66,997.10
2,145,48.94,50.93,0.00,100.00,45.27,63.66,1013.50
2,150,48.45,51.38,0.00,100.00,45.27,63.66,1028.96
2,155,47.97,52.42,0.00,100.00,45.27,63.66,1042.90
2,160,47.65,52.96,0.00,100.00,45.27,63.66,1055.98
2,165,47.32,53.32,0.00,100.00,45.27,63.66,1068.37
2,170,47.00,54.22,0.00,100.00,45.27,63.66,1079.54
2,175,46.62,54.58,0.00,100.00,45.27,63.66,1089.97
2,180,46.16,55.19,0.00,100.00,45.27,63.66,1099.33
2,185,45.81,55.64,0.00,100.00,45.27,63.66,1107.89
2,190,45.39,55.61,26.95,100.00,45.27,63.66,1116.06
2,195,45.07,56.41,52.83,100.00,45.27,63.66,1123.51
2,200,44.88,56.44,48.58,100.00,45.27,63.66,1131.12
2,205,44.75,56.86,48.86,100.00,45.27,63.66,1138.44
2,210,44.78,57.77,39.72,100.00,45.27,63.66,1144.82
2,215,44.75,57.83,45.23,100.00,45.27,63.66,1151.17
2,220,45.39,58.15,0.00,100.00,45.27,63.66,1156.80
2,225,46.03,58.38,0.00,100.00,45.27,63.66,1162.84
2,230,46.36,58.89,0.00,100.00,45.27,63.66,1168.70
2,235,46.68,59.31,0.00,100.00,45.27,63.66,1174.46
2,240,47.00,59.70,0.00,100.00,45.27,63.66,1180.15
2,245,47.00,59.73,0.00,100.00,45.27,63.66,1185.81
2,250,47.00,60.18,0.00,100.00,45.27,63.66,1191.02
2,255,46.91,60.67,0.00,100.00,45.27,63.66,1195.65
2,260,46.68,60.80,0.00,100.00,45.27,63.66,1199.92
2,265,46.55,60.63,0.00,100.00,45.27,63.66,1204.23
2,270,46.36,61.44,0.00,100.00,45.27,63.66,1207.54
2,275,46.00,61.76,0.00,100.00,45.27,63.66,1210.17
2,280,45.71,61.95,0.00,100.00,45.27,63.66,1212.32
2,285,45.39,61.70,23.32,100.00,45.27,63.66,1214.40
2,290,45.23,62.02,34.36,100.00,45.27,63.66,1216.08
2,295,45.04,62.41,40.66,100.00,45.27,63.66,1217.56
2,300,44.94,62.73,38.07,100.00,45.27,63.66,1218.82
2,305,45.07,62.76,19.15,100.00,45.27,63.66,1219.92
2,310,45.07,62.92,27.75,100.00,45.27,63.66,1220.86
2,315,45.39,63.05,0.00,100.00,45.27,63.66,1221.59
2,320,45.74,63.18,0.00,100.00,45.27,63.66,1222.54
2,325,46.03,63.37,0.00,100.00,45.27,63.66,1223.59
2,330,46.36,63.57,0.00,54.60,45.27,63.66,1224.77
2,335,46.07,63.41,0.00,100.00,45.27,63.66,1225.82
2,340,46.36,63.41,0.00,100.00,45.27,63.66,1227.16
2,345,46.36,63.31,0.00,100.00,45.27,63.66,1228.60
2,350,46.03,63.70,0.00,50.00,45.27,63.66,1229.40
2,355,46.03,63.37,0.00,100.00,45.27,63.66,1230.45
2,360,45.71,63.66,0.00,57.47,45.27,63.66,1230.89
2,365,45.71,62.89,0.00,100.00,45.27,63.66,1232.10
2,370,45.39,63.15,21.42,100.00,45.27,63.66,1232.73
2,375,45.20,62.63,36.88,100.00,45.27,63.66,1233.83
2,380,45.07,62.28,34.52,100.00,45.27,63.66,1235.41
2,385,45.07,62.66,25.99,100.00,45.27,63.66,1236.61
2,390,45.07,62.63,26.46,100.00,45.27,63.66,1237.84
