Episode,Time,T1,T2,Q1,Q2,TSP1,TSP2,IAE
1,0,22.83,22.19,50.00,50.00,47.47,62.75,65.20
1,5,22.83,22.48,100.00,100.00,47.47,62.75,130.11
1,10,22.83,21.35,100.00,100.00,47.47,62.75,196.15
1,15,23.15,22.32,100.00,100.00,47.47,62.75,260.90
1,20,23.80,23.06,100.00,100.00,47.47,62.75,324.26
1,25,24.77,23.73,100.00,100.00,47.47,62.75,385.98
1,30,26.31,24.44,100.00,100.00,47.47,62.75,445.45
1,35,27.50,24.67,100.00,100.00,47.47,62.75,503.50
1,40,29.28,26.31,100.00,100.00,47.47,62.75,558.13
1,45,31.21,26.83,100.00,100.00,47.47,62.75,610.31
1,50,32.82,28.44,100.00,100.00,47.47,62.75,659.27
1,55,34.76,29.41,100.00,100.00,47.47,62.75,705.32
1,60,36.37,29.99,100.00,100.00,47.47,62.75,749.18
1,65,38.01,31.63,100.00,100.00,47.47,62.75,789.76
1,70,39.91,32.37,100.00,100.00,47.47,62.75,827.70
1,75,41.78,33.50,100.00,100.00,47.47,62.75,862.64
1,80,43.46,35.01,100.00,100.00,47.47,62.75,894.39
1,85,45.33,35.79,100.00,100.00,47.47,62.75,923.49
1,90,47.00,36.98,50.00,100.00,47.47,62.75,949.73
1,95,48.61,37.85,0.00,100.00,47.47,62.75,975.77
1,100,50.23,39.30,0.00,100.00,47.47,62.75,1001.98
1,105,51.84,40.36,0.00,100.00,47.47,62.75,1028.74
1,110,52.80,41.78,0.00,100.00,47.47,62.75,1055.04
1,115,53.45,42.78,0.00,100.00,47.47,62.75,1080.99
1,120,53.77,44.10,0.00,100.00,47.47,62.75,1105.94
1,125,53.77,45.23,0.00,100.00,47.47,62.75,1129.76
1,130,53.77,46.29,0.00,100.00,47.47,62.75,1152.52
1,135,53.67,47.13,0.00,100.00,47.47,62.75,1174.34
1,140,53.45,48.13,0.00,100.00,47.47,62.75,1194.94
1,145,53.03,48.42,0.00,100.00,47.47,62.75,1214.83
1,150,52.61,49.77,0.00,100.00,47.47,62.75,1232.95
1,155,52.16,50.48,0.00,100.00,47.47,62.75,1249.91
1,160,51.84,50.97,0.00,100.00,47.47,62.75,1266.06
1,165,51.35,51.90,0.00,100.00,47.47,62.75,1280.79
1,170,50.87,52.77,0.00,100.00,47.47,62.75,1294.17
1,175,50.55,53.54,0.00,100.00,47.47,62.75,1306.46
1,180,49.90,54.35,0.00,100.00,47.47,62.75,1317.29
1,185,49.06,54.22,0.00,100.00,47.47,62.75,1327.41
1,190,48.61,54.19,0.00,100.00,47.47,62.75,1337.11
1,195,48.29,54.90,0.00,100.00,47.47,62.75,1345.78
1,200,47.65,55.03,32.10,100.00,47.47,62.75,1353.68
1,205,47.32,55.90,59.37,100.00,47.47,62.75,1360.68
1,210,47.00,56.48,62.97,100.00,47.47,62.75,1367.42
1,215,46.68,56.64,69.41,100.00,47.47,62.75,1374.32
1,220,46.74,57.06,58.87,100.00,47.47,62.75,1380.74
1,225,47.00,56.77,39.04,100.00,47.47,62.75,1387.19
1,230,47.32,57.38,14.59,100.00,47.47,62.75,1392.71
1,235,47.84,57.57,0.00,100.00,47.47,62.75,1398.26
1,240,48.29,58.02,0.00,100.00,47.47,62.75,1403.81
1,245,48.71,58.54,0.00,100.00,47.47,62.75,1409.26
1,250,48.94,58.25,0.00,100.00,47.47,62.75,1415.23
1,255,48.94,58.89,0.00,100.00,47.47,62.75,1420.56
1,260,48.94,58.80,0.00,100.00,47.47,62.75,1425.98
1,265,48.94,59.02,0.00,100.00,47.47,62.75,1431.18
1,270,48.61,59.73,0.00,100.00,47.47,62.75,1435.34
1,275,48.29,59.38,0.00,100.00,47.47,62.75,1439.53
1,280,48.23,59.99,0.00,100.00,47.47,62.75,1443.05
1,285,47.97,60.73,0.00,100.00,47.47,62.75,1445.57
1,290,47.65,61.02,26.89,100.00,47.47,62.75,1447.48
1,295,47.32,61.09,0.00,100.00,29.55,62.75,1466.91
1,300,47.00,61.63,0.00,100.00,29.55,62.75,1485.48
1,305,47.00,61.31,0.00,100.00,29.55,62.75,1504.37
1,310,46.97,61.89,0.00,100.00,29.55,62.75,1522.65
1,315,46.68,61.95,0.00,100.00,29.55,62.75,1540.58
1,320,46.68,62.86,0.00,50.00,29.55,62.75,1557.82
1,325,45.91,62.70,0.00,75.35,29.55,62.75,1574.23
1,330,46.03,62.70,0.00,78.88,29.55,62.75,1590.76
1,335,45.71,62.92,0.00,43.50,29.55,62.75,1607.09
1,340,45.52,62.53,0.00,93.50,29.55,62.75,1623.28
1,345,44.88,62.89,0.00,48.05,29.55,62.75,1638.75
1,350,45.07,62.66,0.00,98.05,29.55,62.75,1654.36
1,355,44.75,62.86,0.00,48.13,29.55,62.75,1669.67
1,360,44.71,62.37,0.00,98.13,29.55,62.75,1685.21
1,365,44.42,61.92,0.00,100.00,29.55,62.75,1700.91
