Episode,Time,T1,T2,Q1,Q2,TSP1,TSP2,IAE
3,0,28.73,27.34,50.00,50.00,55.81,34.29,34.03
3,5,28.63,27.05,100.00,100.00,55.81,34.29,68.45
3,10,28.63,27.50,100.00,100.00,55.81,34.29,102.42
3,15,28.95,27.54,100.00,100.00,55.81,34.29,136.03
3,20,29.47,28.09,100.00,100.00,55.81,34.29,168.57
3,25,30.53,28.38,100.00,100.00,55.81,34.29,199.76
3,30,31.82,29.12,100.00,100.00,55.81,34.29,228.92
3,35,32.98,29.47,100.00,100.00,55.81,34.29,256.57
3,40,34.43,30.50,100.00,100.00,55.81,34.29,281.74
3,45,36.37,31.60,100.00,100.00,55.81,34.29,303.87
3,50,37.98,32.79,100.00,58.29,55.81,34.29,323.20
3,55,39.85,33.60,100.00,8.29,55.81,34.29,339.85
3,60,41.52,34.47,100.00,0.00,55.81,34.29,354.32
3,65,43.10,35.14,100.00,0.00,55.81,34.29,367.88
3,70,44.88,36.05,100.00,0.00,55.81,34.29,380.57
3,75,46.68,36.66,100.00,0.00,55.81,34.29,392.07
3,80,48.29,37.01,100.00,0.00,55.81,34.29,402.31
3,85,49.90,37.33,100.00,0.00,55.81,34.29,411.26
3,90,51.51,37.62,100.00,0.00,55.81,34.29,418.89
3,95,53.12,37.69,100.00,0.00,55.81,34.29,424.98
3,100,54.41,37.98,88.48,0.00,55.81,34.29,430.07
3,105,56.02,37.98,38.48,0.00,55.81,34.29,433.97
3,110,57.31,38.27,0.00,0.00,55.81,34.29,439.45
3,115,58.60,38.30,0.00,0.00,55.81,34.29,446.25
3,120,59.57,38.30,0.00,0.00,55.81,34.29,454.02
3,125,60.22,38.59,0.00,0.00,55.81,34.29,462.73
3,130,60.54,38.62,0.00,0.00,55.81,34.29,471.79
3,135,60.54,38.62,0.00,0.00,55.81,34.29,480.85
3,140,60.22,38.62,0.00,0.00,55.81,34.29,489.59
3,145,59.76,38.66,0.00,0.00,55.81,34.29,497.91
3,150,59.25,38.62,0.00,0.00,55.81,34.29,505.68
3,155,58.60,38.62,0.00,0.00,55.81,34.29,512.80
3,160,57.96,38.62,0.00,0.00,55.81,34.29,519.28
3,165,57.19,38.62,0.00,0.00,55.81,34.29,524.99
3,170,56.35,38.62,0.00,0.00,55.81,34.29,529.86
3,175,55.41,38.30,50.00,0.00,55.81,34.29,534.27
3,180,54.41,38.30,100.00,0.00,55.81,34.29,539.68
3,185,53.83,38.04,100.00,0.00,55.81,34.29,545.41
3,190,53.35,37.95,100.00,0.00,55.81,34.29,551.53
3,195,53.12,37.95,100.00,0.00,55.81,34.29,557.88
3,200,53.41,37.66,100.00,0.00,55.81,34.29,563.65
3,205,53.77,37.62,100.00,0.00,55.81,34.29,569.02
3,210,54.41,37.37,97.76,0.00,55.81,34.29,573.50
3,215,55.06,37.33,62.02,0.00,55.81,34.29,577.29
